,title,company,location,salary,summary
782,"
Expert Sales Executive – OHC, Delhi","

GSK",India,nan,"Understand territory performance data, build doctor & chemist profiles for effective territory management."
783,"
Senior Data Scientist","
Techvantage Systems","Thiruvananthapuram, Kerala",nan,We are looking for a very curious Lead data scientist who enjoys a deep dive into the raw data to help figure out the right set of questions and find the…
784,"
Data Analyst","
Bsri solutions Pvt Ltd.,","Usman Road, Tamil Nadu","

₹8,00,000 - ₹14,00,000 a year
","Understands the requirements from project teams, processes appropriate data sets, generates insightful reports, develops appropriate wireframes/visualization…"
785,"
Engineer-C++","
Digital Guardian","Hyderabad, Telangana",nan,Digital Guardian sets the standard on how to protect data!
786,"
Staff Machine Learning Scientist","
Compass","Hyderabad, Telangana",nan,We are looking for Staff Machine Learning Scientists with a proven track record of solving machine learning problems through utilizing strong machine learning…
787,"
Data Engineer","
skilora",Remote,nan,Dave.AI's flexible data model helps leverage silo'ed data across the Enterprise to learn unique customer journeys and predict the next best interaction for…
788,"
Data Governance Consultant - Manager - D&A","

Ernst & Young","Thiruvananthapuram, Kerala",nan,"Must strong experience in key areas of data management including data architecture, data quality, data security."
789,"
Data Analyst","
GroundTruth","Gurgaon, Haryana",nan,Present the analysis in crisp and clear manner for solving location data anomalies/issues.
790,"
IT Software Developer (IDC)","

flydubai",nan,nan,"Build applications (stand alone as well as plugins) that fetch data from existing system/s, manipulate them and perform new business functions."
791,"
2580 - Data Coordinator - QA","

Cytel, India","Pune, Maharashtra",nan,Maintain the integrity of all QA data.
792,"
Jr. Research Associate (Food & Nutrition)","
OZiva","Mumbai, Maharashtra","

₹3,00,000 - ₹3,50,000 a year
","Records, compiles, analyzes research data and evaluation procedures."
793,"
Information Security Analyst","
KAYK TECHNOLOGIES PVT LTD","Hyderabad, Telangana","

₹2,00,000 - ₹5,00,000 a year
",Bachelor's degree in computer science or related field.
794,"
SQL DBA","
M Tech Soft","New Delhi, Delhi",nan,The data warehouse supports an enterprise application suite of program management tools.
795,"
Intern, Technology (Data Management)","

TeachForIndia",India,nan,"Knowledge of data warehousing, data mining, and segmentation techniques."
796,"
Big Data Spark Developer","

UBS","Pune, Maharashtra",nan,Experience building data lakes and data pipelines in cloud using Azure and Databricks or similar tools.
797,"
Python Developers","
Minda Solution Tech Mark","Hassan, Karnataka","

₹1,40,000 - ₹3,10,000 a year
",Ability to integrate multiple data sources into a single system.
798,"
Bioinformatics Data Analyst","
Technogen India Private Limited",India,nan,Integrate incoming new data to the existing data model to provide a unified data for the end user.
799,"
Platform Engineer","

Gaian Solutions","Hyderabad, Telangana",nan,The Opportunity: Come Build the Next-Gen Hi-Tech Product Platform.
800,"
Senior Director Platforms Data Science (AI &ML)","

[24]7.ai","Bengaluru, Karnataka",nan,Strong knowledge in AI real-time data prediction.
801,"
Consultant - GUR/BLR - TAT strategy","

Deloitte","Gurgaon, Haryana",nan,Synthesize and present insights and recommendations from data.
802,"
Data Analytics, Head - Data Analytics","
Della Group","Mumbai, Maharashtra",nan,2.Oversees all activities of data analytics and data warehousing.
803,"
Data Visualization Developer - Tableau Developer","

NTT DATA Global Delivery Services Limited",India,nan,"NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us."
804,"
IT Software Developer (IDC)","

flydubai",nan,nan,"Build applications (stand alone as well as plugins) that fetch data from existing system/s, manipulate them and perform new business functions."
805,"
Data Analyst - Presales","
ConcertAI","Bengaluru, Karnataka",nan,You will be working on ConcertAI Data and responsible to analyzing these data using data processing/querying tool like SAS or SQL or R. You will collaborate…
806,"
RBEI/ESZ2-Senior Video Function Developer_2021","

Bosch Group","Bengaluru, Karnataka",nan,"Good logical, analytical and data interpretation skills."
807,"
Data Scientist","

IHS Markit","Gurgaon, Haryana",nan,Efficiently explore new data sources and assess data gathering techniques.
808,"
Quant Model Validation Consultant for Data Science","

Wells Fargo","Bengaluru, Karnataka",nan,Aptitude for synthesizing data to 'form a story' and align information to contrast/compare to industry perspective.
809,"
Artificial Intelligence (AI) Internship","
Radoratory Technologies Private Limited","Hyderabad, Telangana","

₹2,000 a month
","Completing the assigned tasks of image annotation, image collection, image processing, and data augmentation."
810,"
Content Editor","

ADCI HYD 16 SEZ","Hyderabad, Telangana",nan,You track and use data to make content decisions.
811,"
Technical Specialist","
Equisoft","Hyderabad, Telangana",nan,Experience in information/data analysis and data modelling.
812,"
Presales Executive","
INTELLECTYX DATA SCIENCE INDIA",India,nan,"Identify and Respond to open RFPs, RFQs, RFIs, and Security questionnaires."
813,"
Data Analyst","
Polaris Inc.","Bengaluru, Karnataka",nan,Interest in data science and machine learning.
814,"
Big Data","

XenonStack","Mohali, Punjab",nan,"The role would involve big data pre-processing & reporting workflows including collecting, parsing, managing, analyzing and visualizing large sets of data to…"
815,"
Data Analyst_Calsoft","

Calsoft","Pune, Maharashtra",nan,It also involves real time data quality checks and alerts.
816,"
Data Scientist - Associate","

JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",nan,"Strong understanding of advanced data mining techniques, curating, processing and transforming data to produce sound datasets."
817,"
IT Software Developer (IDC)","

flydubai",nan,nan,"Build applications (stand alone as well as plugins) that fetch data from existing system/s, manipulate them and perform new business functions."
818,"
Data Engineering Manager","
aisle 3","Bengaluru, Karnataka",nan,Real-time data streaming via Apache Spark via AWS EMR.
819,"
Technical Recruiter","
Camp K12","Gurgaon, Haryana","

₹37,500 - ₹50,000 a month
",Maintain a daily excel-based data tracker; Analyze and evaluate data to gain insights into hiring quality and process efficacy.
820,"
Analyst/Senior Analyst-Digital Marketing - Clients & Market...","

Deloitte","Hyderabad, Telangana",nan,"About Technology CoE Technology CoE offers innovative solutions that enable CMO to execute with agility, drive closed-looped marketing, and achieve operational…"
821,"
Machine Learning","

XenonStack","Chandigarh, Chandigarh",nan,We are searching for top talent that will help solve some of the most challenging problems in the IT world using data science methodologies.
822,"
Data Scientist","

Cubic Corporation","Hyderabad, Telangana",nan,4+ years of hands-on data science experience.
823,"
Urgent Required for C++ Developer","
WSD Consultant","Noida, Uttar Pradesh","

₹8,00,000 - ₹18,00,000 a year
",Good understanding of algorithms and data structures.
824,"
Social Listening Analyst (India)","
VaynerMedia LLC","Mumbai, Maharashtra",nan,"You will deep dive into the data to uncover drivers of social buzz, then translates the data into a compelling story."
825,"
Sr. Data Scientist- 12-15 Years- Noida/ Hyderabad","
Careator Technologies","Hyderabad, Telangana",nan,"Core understanding of statistical problems including distribution of data, problem identification in data."
826,"
Data Scientist","
NOVIQUE HEALTH","Mumbai, Maharashtra",nan,"Complex data domains, especially: natural language, health data e.g. insurance claims."
827,"
ServiceNow Developer I","

Indeed","Hyderabad, Telangana","

₹18,00,000 - ₹24,40,000 a year
",Possess exceptional support skills and make decisions based on data.
828,"
Business Analyst - II","

Amazon Dev Center India - Hyd","Hyderabad, Telangana",nan,"Experience working in risk, fraud , data science organizations."
829,"
Python Developer Intern","
RannLab Technologies",Remote,nan,Implement security and data protection solutions.
830,"
Systems Development Eng Intern","

Amazon Dev Center India - Hyd","Hyderabad, Telangana",nan,Candidates pursuing Bachelors/ Masters in Computer Science or Engineering or related field.
831,"
IT Software Developer (IDC)","

flydubai",nan,nan,"Build applications (stand alone as well as plugins) that fetch data from existing system/s, manipulate them and perform new business functions."
832,"
Process Executive - Voice","

Cognizant","Bengaluru, Karnataka",nan,Record own attendance and time sheet related data.
833,"
Assistente de Software - Especialista","

IBM",Bihar,nan,"IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition."
834,"
Cyber Security Internship","
Paralok Information Security Private Limited","Hyderabad, Telangana","

₹10,000 a month
","Install security measures and operate software to protect systems and information infrastructure, including firewalls and data encryption programs 5."
835,"
Assistant Manager-Research & Insights -FSI- Insurance-Mumbai","

Deloitte","Mumbai, Maharashtra",nan,Using advanced data science and survey advisory capabilities to.
836,"
Machine Learning Science Leader","
CareerXperts",India,nan,Strong communication and data presentation skills.
837,"
Content Management Specialist & Data librarian","

Sanofi","Hyderabad, Telangana",nan,"Bachelor’s or master’s degree in information systems, computer science, communications, web/graphic design or related field."
838,"
Support Engineer","

ASSPL - Telangana","Hyderabad, Telangana",nan,This second aspect involves network monitoring and significant analysis of network data.
839,"
Data Scientist","

Pure Software","Gurgaon, Haryana",nan,Experience in data visualisation techniques to convey the results of a data science project outcome.
840,"
Associate Document Ingestion","
Cognicor Technologies","Ernakulam, Kerala","

₹50,000 - ₹90,000 a month
","CogniCor, one of the fastest-growing providers of cognitive virtual assistants for enterprises."
841,"
Software Testing Internship","
Thynkblynk Technologies Private Limited","Hyderabad, Telangana","

₹8,000 - ₹15,000 a month
",Thynkblynk is a startup working on trusted data interchange bolted on Blockchain.
842,"
Conservation Programme Project Officer","
International Union for Conservation of Nature","The Rutu Estate, Thane, Maharashtra",nan,Bachelor degree (or higher) in environmental sciences;
843,"
IT Software Developer (IDC)","

flydubai",nan,nan,"Build applications (stand alone as well as plugins) that fetch data from existing system/s, manipulate them and perform new business functions."
844,"
Manager - Projects","

Cognizant","Hyderabad, Telangana",nan,"Thought Leadership,Process Improvements,Delivery Excellence."
845,"
HR and Admin Intern","

Educate Girls","Barwani, Madhya Pradesh","

₹10,000 a month
",Review and updation of data in Spine software on regular basis.
846,"
Data Scientist","
FinAcPlus","Hyderabad, Telangana",nan,Ability to perform data mining.
847,"
Data Scientist","
Cove Venture","Guntur, Andhra Pradesh","

₹60,000 - ₹1,00,000 a month
","60,000 to Rs 1,00,000 per month."
848,"
Intern","

IBM","Bengaluru, Karnataka",nan,"Preferred degrees include Computer science, Mathematics."
849,"
Associate Director - Product","
Zestmoney",Karnataka,nan,"You will work deeply across the organisation, collaborating with various stakeholders from operations to customer service to collections, risk, fraud, data…"
850,"
Data Scientist","

Clean Harbors India LLP","Hyderabad, Telangana",nan,Experience with data mining and manipulation required.
851,"
SR ANALYTICS DATA MODELER / ARCHITECT","

Micron","Hyderabad, Telangana",nan,Analyze data-related system integration challenges and propose appropriate solutions.
852,"
Field Analyst","
GLORIFY GARBAGE","Mohali, Punjab",nan,Identify different types of data that need tracking to improve business performance.
853,"
Data Extraction Manager","
Success Ladder Technologies Private Limited","Alwar, Rajasthan","

₹80 - ₹200 an hour
",A great data manager is able to fully grasp the complexity of data management.
854,"
Process Executive","

Cognizant","Pune, Maharashtra",nan,Graduate/Post Graduate/ Doctorate degree in life sciences/Pharmacy/Medical sciences/Registered Nurse.
855,"
Data Analytics Engineer","

Autodesk","Bengaluru, Karnataka",nan,"Experience building and optimizing ‘big data’ data pipelines, architectures and data sets."
856,"
Planning and Materials Management COE Data Scientist","

Hewlett Packard Enterprise","Bengaluru, Karnataka",nan,Ph.D or Masters in Statistics / computer science / operations research / data science / industrial engineering / supply chain / manufacturing systems.
857,"
Business Operations Associate Consultant","

ZS Associates","Pune, Maharashtra",nan,"This includes synthesizing data, performing quality checks and delivering error free deliverables."
858,"
Software Developer Intern","
Permatech IT","Bengaluru, Karnataka","

₹2,00,000 - ₹4,00,000 a year
",Create security and data protection settings.
859,"
District Program Officer","

Educate Girls","Fatehpur, Uttar Pradesh",nan,Oversee the data collection related to programmatic intervention areas as set by the Impact team.
860,"
Sr. Data Scientist/ Sr. Data Science Consultant (Marketing A...","
Course5","Bengaluru, Karnataka",nan, Identify client business problems and devise hypothesis that can be validated with available data.
861,"
Python Programmer","

3RI TECHNOLOGIES","Pune, Maharashtra","

₹2,00,000 - ₹3,00,000 a year
",Clear understanding of different data structures including list and dictionary.
862,"
Proof Reader Trainee","

TNQ","Chennai, Tamil Nadu",nan,Ensure the availability of error free data.
863,"
Data Science Lead","

Caterpillar","Chennai, Tamil Nadu",nan,"Experience with common data science toolkits, such as Python, R, Weka, MatLab, etc (Excellence in at least one of these is highly desirable)."
864,"
Quality Assurance Analyst 2","

Epsilon","Bengaluru, Karnataka",nan,"BE/BCA/MCA degree in computer science, engineering or related discipline."
865,"
IT Software Developer (IDC)","

flydubai",nan,nan,"Build applications (stand alone as well as plugins) that fetch data from existing system/s, manipulate them and perform new business functions."
866,"
Principal Consultant – Data Science","
D Cube Analytics","Bengaluru, Karnataka",nan,"Degree in applied math, statistics, machine learning or computer science."
867,"
Blockchain Developer","
MAD Works India Pvt Ltd","Hyderabad, Telangana",nan,Documenting blockchain development processes and complying with best practices in data protection.
868,"
Principle Data Engineer","

Oracle","Bengaluru, Karnataka",nan,Integrate and productize analyst and data science models as needed.
869,"
Quality Executive","

Heritage Foods","Chittoor, Andhra Pradesh",nan,"Monitor, maintain & update accurate data on time without any deviations."
870,"
Associate Director, Software Development","

S&P Global","Hyderabad, Telangana",nan,Good understanding of data models and data architecture.
871,"
DATA MODELER – MARIA DB / CASSANDRA","
Careator Technologies",India,nan,Data Modeler – Maria DB / Cassandra.
872,"
Data Scientist","
GridEdge Technologies","Pune, Maharashtra",nan,Extending company’s data with third party sources of information when needed.
873,"
Mindshare | Partner - Data and Technology","
Mindshare","Mumbai, Maharashtra",nan,"Designing data science-led solutions, specifically for the CRM marketing area."
874,"
Data Engineer","

Oracle","Bengaluru, Karnataka",nan,"Experience building and optimizing ‘big data’ data pipelines, architectures and data sets."
875,"
Senior Data Engineer","
TheDataTeam","Chennai, Tamil Nadu",nan,Experience in Performance tuning of big data applications.
876,"
Data Engineer","
Fundnel Pte Ltd","Mumbai, Maharashtra",nan,Maintain data warehouse architecture and relational databases.
877,"
IT-Business System Analyst","

Axis Bank","Mumbai, Maharashtra","

₹6,00,000 - ₹8,00,000 a year
",Bachelor in Computer science or equivalent.
878,"
Advanced Process Modeling Engineer","

Micron","Hyderabad, Telangana",nan,"Experience with data modeling, data mining, data warehousing, and ETL pipelines creation."
879,"
IT Software Developer (IDC)","

flydubai",nan,nan,"Build applications (stand alone as well as plugins) that fetch data from existing system/s, manipulate them and perform new business functions."
880,"
Lead Data Scientist","

Vestas","Chennai, Tamil Nadu",nan,Enable operational organization by data analytics deployed through self-service BI tools to make better decisions based on insights from data to improve…
881,"
Data Scientist","

Analytics Vidhya","Gurgaon, Haryana",nan,Person with 2+ years of experience in data science.
882,"
Team Lead Clinical Data Management","

Novartis","Hyderabad, Telangana",nan,Collaboration and support Group Lead in vendor governance for data management clinical data management activities.
883,"
Azure Data Engineer","
loyalytics consulting","Bengaluru, Karnataka","

₹20,00,000 - ₹25,00,000 a year
",Research new data sources and perform basic data source analysis.
884,"
Senior Data Scientist-1","

PayPal",nan,nan,Leveraging data analysis tools and technologies.
885,"
Manager Data Science","

PayPal",nan,nan,Design and implement data-driven systems that increase sales success.
886,"
Data Scientist-1","

PayPal",nan,nan,As the decision science analyst she/he….
887,"
Data Scientist","

Larsen & Toubro Infotech Limited",India,nan,Must have minimum of 4+ years of industry experience in developing data science models.
888,"
Data Engineer","
Ttec Digital Analytics India LLP","Hyderabad, Telangana",nan,Work within our proprietary big data cloud computing platform to create data science products for our customers.
889,"
Senior Business Analyst - Event Coordinator","

Sanofi","Hyderabad, Telangana",nan,"Event Coordinator generates insights based on data collected, leveraging further data from Sanofi."
890,"
Data Scientist","
Netradyne","Bengaluru, Karnataka",nan,"Perform data wrangling tasks such as acquiring, cleaning, structuring and enriching data."
891,"
Sr. SAP Data Migration Consultant","
SYNITI","Hyderabad, Telangana",nan,"Extensive data quality and data migration experience including proficiency in data warehousing, data analysis and conversion planning for data migration…"
892,"
Safety & PV Coordinator","

Syneos Health Clinical",Delhi,nan,"Redacts patient identifying information/ images in accordance with data protection guidelines, ICH GCP and GVP."
893,"
VP (Learning & Design)","
WhiteHat Jr","Mumbai, Maharashtra",nan,"Work with data analysts/scientists to develop analytical models to correlate learning outcomes data with key drivers of learning outcomes like engagement,…"
894,"
Data Expert","
Traction on Demand","Jaipur, Rajasthan",nan,"Conducting data audit, cleansing and de-duplication projects to clean data."
895,"
Data Scientist","

Amazon Dev Center India - Hyd","Hyderabad, Telangana",nan,"5+ years of experience in data extraction, transformation, statistical analysis and data modeling."
896,"
Collaboration Administrator/Data Analyst","
AI Engineer","Trichur, Kerala","

₹17,000 - ₹25,000 a month
","Review system data, scrub and create reports."
897,"
Data Warehouse Engineer III","

Indeed",nan,"

₹39,20,000 - ₹56,80,000 a year
","The successful candidate will have hands on data processing and data modeling experience in a ""big data"" environment."
898,"
Data Engineering Analyst - SQL, SSIS, SSRS - Gurgaon, HR","

UnitedHealth Group",nan,nan,"Here, innovation isn't about another gadget, it's about making health care data available wherever and whenever people need it, safely and reliably."
899,"
Data Engineer II","

Indeed",nan,"

₹27,00,000 - ₹40,60,000 a year
",Hands-on data processing and data modeling experience in a big data environment.
900,"
Data Engineering - Scala Databricks - Multiple locations","

UnitedHealth Group",nan,nan,"Experience in data ingestion, preparation, integration and operationalization techniques in optimally addressing the data requirements."
901,"
Associate Director, Data Management and Analytics","

Parexel",nan,nan,Experience in clinical trials data management desirable.
902,"
Horticulturist","
Action for Social Advancement (ASA)","Ambikapur, Chhattisgarh",nan,Help Teams in collating field data and entry in dedicated software.
903,"
Software Engineer | FICC Futures","

Goldman Sachs","Bengaluru, Karnataka",nan,"Excellent understanding of multi-threading, data structures, algorithms, and designing for performance."
904,"
Security Analyst","

Microsoft","Hyderabad, Telangana",nan,Analyze security data and create reporting to inform business decision makers.
905,"
Data Engineer","

BookMyShow","Mumbai, Maharashtra",nan,Industrialise the data science models and embed intelligence in product & business applications.
906,"
Software Trainer","

IANT Computer Education","Nashik, Maharashtra","

₹85,000 a year
","Required Computer Software trainer who have Excellence Knowledge computer programming Language like *C, C++ HTML, CSS, PHP, .Net."
907,"
Data Scientist - GAIA India job stage 5","

Ericsson","Bengaluru, Karnataka",nan,Assess the effectiveness of new data sources and data gathering techniques.
908,"
Senior Staff Engineer, Data Scientist","

Stryker","Gurgaon, Haryana",nan,"Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets."
909,"
Data Scientist","
Enroute Corporate Solutions","Kochi, Kerala","

₹50,000 a month
",Experience with common data science toolkits.
910,"
IT Software Developer (IDC)","

flydubai",nan,nan,"Build applications (stand alone as well as plugins) that fetch data from existing system/s, manipulate them and perform new business functions."
911,"
Data Scientist","

XPO Logistics","Mumbai, Maharashtra",nan,"The selected candidate will possess a combination of data science skills including data wrangling, advanced programming and statistical analysis (machine…"
912,"
Tableau - Developer","

InfoCepts","Nagpur, Maharashtra",nan,Develop SQL queries and support ad hoc requests for data.
913,"
F3 Analyst","

JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",nan,"Should primarily have good experience in Reconciliation of data, writing and running SQL queries."
914,"
SAP Application Engineer, Corporate Engineering","

Google","Hyderabad, Telangana",nan,"From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible."
915,"
Data Scientist - C++ Programming","
Eminence core solutions LLP","Bengaluru, Karnataka",nan,"Experience in C++ programming, C, Matlab, Python."
916,"
OPERATIONS MANAGER","

Zensar Technologies","Pune, Maharashtra",nan,Knowledge of data protection operations and legislation (e.g. GDPR).
917,"
Senior Data Scientist-1","

PayPal",nan,nan,Leveraging data analysis tools and technologies.
918,"
Manager Data Science","

PayPal",nan,nan,Design and implement data-driven systems that increase sales success.
919,"
Data Scientist-1","

PayPal",nan,nan,As the decision science analyst she/he….
920,"
Research Assistant","

Healing Fields Foundation","Banjara Hills, Hyderabad, Telangana",nan,Responsibilities:Design surveys and reporting tools that provide the organisation with data for programme execution and analysis of programme impact Coordinate…
921,"
S&OP & Demand Planning Executive - Trading","

Imerys","Pune, Maharashtra",nan,"Prepares all data, metrics and scenarios to be discussed during S&OP meetings."
922,"
Senior Associate - IReady-JOB#0980","
Freyr","Hyderabad, Telangana",nan,Ability to effectively review and authorize the ingredient data.
923,"
Consultant/Senior Consultant – Data Science","

Absolutdata","Pune, Maharashtra",nan,Lead and groom the pool of data scientists for solving complex problems using data science.
924,"
Data Analytics part time job/internship at Noida","
CMP Digital Media","Noida, Uttar Pradesh","

₹3,000 - ₹4,000 a month
",Understand business requirements efficiently pull and query business data using SQL.
925,"
UX Researcher","
Elucidata Data Consulting Private Limited","New Delhi, Delhi",nan,(Candidates with a science or data science background will be preferred.).
926,"
Literature Specialist","

GSK","Bengaluru, Karnataka",nan,Bachelor’s Degree - Life sciences.
927,"
Analytics Engineer","

Gaian Solutions","Hyderabad, Telangana",nan,The Opportunity: Come Build the Next-Gen Hi-Tech Product Platform.
928,"
Sr. Associate - Projects","

Cognizant","Kochi, Kerala",nan,"Bachelors in science , engineering or equivalent."
929,"
Application Specialist","

Molbio Diagnostics","Pune, Maharashtra",nan,Issues by gathering the relevant data.
930,"
Data Warehouse Engineer III","

Indeed",nan,"

₹39,20,000 - ₹56,80,000 a year
","The successful candidate will have hands on data processing and data modeling experience in a ""big data"" environment."
931,"
Data Engineering Analyst - SQL, SSIS, SSRS - Gurgaon, HR","

UnitedHealth Group",nan,nan,"Here, innovation isn't about another gadget, it's about making health care data available wherever and whenever people need it, safely and reliably."
932,"
Data Engineer II","

Indeed",nan,"

₹27,00,000 - ₹40,60,000 a year
",Hands-on data processing and data modeling experience in a big data environment.
933,"
Data Engineering - Scala Databricks - Multiple locations","

UnitedHealth Group",nan,nan,"Experience in data ingestion, preparation, integration and operationalization techniques in optimally addressing the data requirements."
934,"
Associate Director, Data Management and Analytics","

Parexel",nan,nan,Experience in clinical trials data management desirable.
935,"
Data Analyst","
Compass","Hyderabad, Telangana",nan,"In this role, you will help Compass become the leading source of real estate information by expanding our geographic coverage, introducing new data types and…"
936,"
Value Propositions & Insights Competitive Intelligence Speci...","
Cytiva","Bengaluru, Karnataka",nan,Develop and maintain awareness and understanding of all available internal and external data.
937,"
Research Associate","
Advarra / Forte Research Systems India","Bengaluru, Karnataka",nan,Minimum qualification: Degree in Life sciences/related fields.
938,"
Lead Data Scientist / Machine Learning Expert","
Bidgely","Bengaluru, Karnataka",nan,Strong intuition for data and Keen aptitude on large scale data analysis.
939,"
Associate Partner -Data & AI LT00","

IBM",India,nan,"Push the edges of possibility, in what one can do with data."
940,"
Sr Data Scientist","

Evolent Health","Pune, Maharashtra",nan,"As an experienced Data Scientist you’ll join a team of data scientists, analysts, and software engineers working to push the boundaries of data science in…"
941,"
Data Scientist","
Speegile Consulting","Kolkata, West Bengal","

₹5,00,000 - ₹8,00,000 a year
","Strong data representation and lucid presentation (of analysis/modelling output) using Power Point, Excel etc."
942,"
Data Science Manager (Driver & Ops)","
GO-JEK","Bengaluru, Karnataka",nan,"You'll lead a team of data analysts, decision scientists and data scientists and participate in crafting OKRs for Driver & Operations platform (together with…"
943,"
IT Software Developer (IDC)","

flydubai",nan,nan,"Build applications (stand alone as well as plugins) that fetch data from existing system/s, manipulate them and perform new business functions."
944,"
Python Developer","
DeMa Tech Solutions (P) Ltd.","Kochi, Kerala","

₹25,000 - ₹50,000 a month
","We at DeMa Tech Solutions (P) Ltd, a Canada based web development firm located at Kochi, looking for skilled Python Developers who are having sound…"
945,"
Artificial Intelligence Operations Engineer","
ANI Calls India Private Limited","Hyderabad, Telangana","

₹9,00,000 - ₹18,00,000 a year
","Data science, AI/ML, or statistics understanding and experience."
946,"
Professional Services Specialist","

amdocs","Gurgaon, Haryana",nan,"Be very conversant with migration strategies, and be able to think through various different ways of migrating legacy data."
947,"
Data Engineer - Redshift","

People Interactive Pvt Ltd.","Mumbai, Maharashtra",nan,"Familiarity with data warehousing modeling, such as dimensional data modeling and schema design."
948,"
ML Engineer / Machine Learning Engineer","

Arya.ai","Mumbai, Maharashtra",nan,"Understanding of data structures, data modeling and software architecture."
949,"
Industry Consultant: INDUSTRY.Insurance","

IBM","Hyderabad, Telangana",nan,Conduct functional mock testing and do the system testing in test data creation and support UAT queries/resolutions.
950,"
VIE - DATA SCIENTIST (H/F) - INDE","

Total","Mahape, Maharashtra",nan,"Vous maîtrisez les outils de la data science (Python, manipulation bases de données)."
951,"
RBEI/ESZ2_Video_Function_Computer_vision_Developer(CV)- 2021","

Bosch Group","Bengaluru, Karnataka",nan,"Good logical, analytical and data interpretation skills."
952,"
UCC Zoom/Teams Webcasting Engineer","

Micron","Hyderabad, Telangana",nan,"Backed by more than 40 years of technology leadership, our memory and storage solutions enable disruptive trends, including artificial intelligence, 5G, machine…"
953,"
Assistant Manager- Tech COE-Data Visualisation- Clients & Ma...","

Deloitte","Hyderabad, Telangana",nan,We provide end–to-end solutioning across the data to insights journey Partner with stakeholders to identify their business needs and provide technical…
954,"
Data Engineer: Data Modeling","

IBM","Mumbai, Maharashtra",nan,"IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition."
955,"
IT Software Developer (IDC)","

flydubai",nan,nan,"Build applications (stand alone as well as plugins) that fetch data from existing system/s, manipulate them and perform new business functions."
956,"
Entry-level Developer","
Computer Engineer","Kurnool, Andhra Pradesh","

₹15,000 - ₹25,000 a month
",Analyzing existing data to develop metrics and trends to enhance knowledge and capture value of data.
957,"
SQL Developer","
Gainwell Technologies","Chennai, Tamil Nadu",nan,"Providing technical expertise on Large data storage structures, data mining, and data cleansing."
958,"
Software Engineer - MV","
Rubrik Job Board","Bengaluru, Karnataka",nan,"We are the leader in cloud data management, delivering a single platform to manage and protect data in the cloud, at the edge, and on-premises."
959,"
Data Quality Analyst","
AI Engineer","Mangalore, Karnataka","

₹17,000 - ₹26,500 a month
","They examine complex data to optimize the efficiency and quality of the data being collected, resolve data quality problems, and collaborate with database…"
960,"
Data Scientist & AI Expert","

Siemens Technology and Services Private Limited","Gurgaon, Haryana",nan,Strong demonstrated knowledge of data science & AI technologies and associated frameworks.
961,"
Software Engineering - Big Data Developer (Spark)","

JPMorgan Chase Bank, N.A.","Hyderabad, Telangana",nan,"Investing in security & controls for cyber, access/entitlements uplift, data protection and application resiliency."
962,"
Qlik BI Developer","
Sierra Living Concepts Inc",Remote,nan,"Experienced in data integration through extracting, transforming and loading (ETL) data from various sources."
963,"
Executive, APAC, Marketing Science","

GfK","Gurgaon, Haryana",nan,"We connect data, science and innovative digital research solutions to provide answers for key business questions around consumers, markets, brands and media."
964,"
Lead, Big Data Engineering, Smart MFG & AI","

Micron","Hyderabad, Telangana",nan,"Participate in design, architecture review and deployment of Big data and cloud data warehouse solutions."
965,"
Data Science Manager","

Infosenseglobal","Pune, Maharashtra",nan,Direct data science teams to complete all project deliverables.
966,"
Data Engineer","

Maersk","Bengaluru, Karnataka",nan,Do you understand the day-to-day obstacles to effective data science and software development work?
967,"
Data Analyst","
Visionary Financepeer","Mumbai, Maharashtra",nan,Acquire data from primary or secondary data sources and maintain databases/data systems.
968,"
Supply Chain - Customer Service and Purchase Assistant 1","
Milliken and Company",Maharashtra,nan,"By combining science with design and insights, Milliken tackles the issues and concerns of today."
969,"
Operations Analyst","
ICL Systems","Gurgaon, Haryana",nan,Monitor inbound and outbound data exchange.
970,"
Assistant Manager - Production Planning - FIBC","
plastemart jobs","Silvassa, Dadra and Nagar Haveli","

₹60,000 - ₹75,000 a month
","Collect, analyses, and publish measurement data, to determine the root cause of process and."
971,"
IT Software Developer (IDC)","

flydubai",nan,nan,"Build applications (stand alone as well as plugins) that fetch data from existing system/s, manipulate them and perform new business functions."
972,"
Data Scientist","

Fanatics Inc.","Hyderabad, Telangana",nan,"Must have excellent academic and conceptual knowledge on data science, machine learning, statistics or AI."
973,"
Data Engineering - Consultant","
TheMathCompany","Bengaluru, Karnataka",nan,Build and maintain data pipelines to support large scale data management in alignment with data strategy and data processing standards.
974,"
Centralized Monitor","

IQVIA","Thane, Maharashtra",nan,"At IQVIA, we believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier…"
975,"
Data Engineer: Data Modeling and Data Architect","

IBM","Mumbai, Maharashtra",nan,Perform data analysis and data modeling for operational application and analytical databases.
976,"
Audit Data Analytics - Analytics Solutions Associate","

JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",nan,Visualize data in order to effectively communicate findings and themes.
